Category,Item,Allergens,Serving Size (oz),Serving Size (g),Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Total Carbohydrates (g),Dietary Fiber (g),Sugars (g),Added Sugars (g),Protein (g),Vitamin D (mcg),Calcium (mg),Iron (mg),Potassium (mg),,,,,,,,
Pizza,Slice Cheese*,"WHEAT, MILK",9.5,269,710,27,14,1,75,1780,78,9,5,1,41,0,450,?,266,,,,,,,,
Pizza,Whole Cheese*,"WHEAT, MILK",57,1016,4260,161,83,6,440,10710,467,52,31,8,247,0,2487,24,1597,,,,,,,,
Pizza,Slice Pepperoni*,"WHEAT, MILK",3.8,341,650,24,11,0.5,60,1760,75,7,5,1,34,0,596,4,273,,,,,,,,
Pizza,Whole Pepperoni*,"WHEAT, MILK",51.4,1457,3880,145,64,3.5,355,10450,449,44,33,8,202,0,3012,32,1923,,,,,,,,
Pizza,Whole 1/2 Pepperoni 1/2 Cheese,"WHEAT, MILK",55.7,1575,4080,162,84,35,355,10440,453,42,33,8,224,221,3795,30,1451,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hot Dogs,KC Hot Dog*,"WHEAT, SESAME, SOY",31.84,917,580,33,12,2,75,2690,117,5,72,66,24,0,133,6,564,,,,,,,,
Hot Dogs,KC Hot Dog Only,"WHEAT, SESAME, SOY",4.33,123,370,31,12,1,85,1250,4,0,3,3,16,0,47,?,250,,,,,,,,
Hot Dogs,Bun Only,"WHEAT, SESAME, SOY",2.82,80,210,3.5,0.5,0,0,370,38,1,4,4,7,4,89,2,214,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sandwiches,Chicken Bake*,"WHEAT, EGG, MILK, FISH (ANCHOVY)",12.45,350,790,28,11,0,125,2530,81,4,1,0,53,7,397,6,490,,,,,,,,
Sandwiches,Combo Calzone*,"WHEAT, EGG, MILK, SOY",14.55,421,1080,33,20,0,115,2500,97,9,6,3,46,19,419,25,561,,,,,,,,
Sandwiches,Turkey Provolone Sandwich*,"WHEAT, EGG, MILK",13,369,820,41,14,1,135,1960,59,3,6,3,50,1,429,6,260,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salad,Chicken Caesar Salad*,"WHEAT, EGG, MILK, FISH (ANCHOVY)",22,624,780,45,12,0.5,175,2180,36,1,11,3,58,9,408,6,774,,,,,,,,
Salad,Rotisserie Chicken Chef Salad*,"WHEAT, EGG, MILK",21,595,840,52,15,0,370,2600,31,5,9,3,59,1,166,6,1072,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smoothie/Sundae/Ice Cream,Strawberry Banana Freeze Smoothie*,NA,15,425,320,0,0,0,0,5,77,6,69,25,2,1,?,34,1,670,,,,,,,
Smoothie/Sundae/Ice Cream,Vanilla Ice Cream,MILK,10,284,550,30,19,1.5,120,190,64,0,56,39,9,1,250,0,354,,,,,,,,
